name,dataset,chip,fsn,length,start,slope,noise,gain,vertical,row,column
2016-10-28-40,2016-10-28,FUV1,27616208,19,146112,-0.19584834366881995,17.791199684143066,6.0,True,669,284
2016-10-28-41,2016-10-28,FUV2,27616208,13,146131,-0.01231547820833202,17.791199684143066,6.0,True,770,4073
2016-10-28-42,2016-10-28,FUV2,27616208,14,146144,-0.23264053078603575,17.791199684143066,6.0,True,847,3683
2016-10-28-43,2016-10-28,FUV2,27616211,23,146158,0.07990744619489731,17.791199684143066,6.0,True,209,3721
2016-10-28-44,2016-10-28,FUV2,27616211,23,146181,-0.15023062566382023,17.791199684143066,6.0,True,438,3891
2016-10-28-45,2016-10-28,FUV2,27616214,15,146204,-0.08261510580850442,17.791199684143066,6.0,True,427,3969
2016-10-28-46,2016-10-28,FUV1,27616214,13,146219,0.18596753465507068,17.791199684143066,6.0,True,522,381
2016-10-28-47,2016-10-28,FUV2,27616216,15,146232,-0.09778418987153198,17.791199684143066,6.0,True,246,3887
2016-10-28-48,2016-10-28,FUV2,27616216,16,146247,-0.17534841996809747,17.791199684143066,6.0,True,283,3920
2016-10-28-49,2016-10-28,FUV2,27616216,17,146263,-0.3208654680775596,17.791199684143066,6.0,True,298,3727
2016-10-28-50,2016-10-28,FUV2,27616216,13,146280,-0.10722092228916413,17.791199684143066,6.0,True,350,3987
2016-10-28-51,2016-10-28,FUV2,27616216,13,146293,-0.10726323845108753,17.791199684143066,6.0,True,436,3792
2016-10-28-52,2016-10-28,FUV2,27616216,12,146306,0.012415748407506378,17.791199684143066,6.0,True,491,3634
2016-10-28-53,2016-10-28,FUV2,27616216,18,146318,0.266834977201538,17.791199684143066,6.0,True,810,4037
2016-10-28-54,2016-10-28,FUV1,27616216,15,146336,-0.177903817591003,17.791199684143066,6.0,True,849,382
2016-10-28-55,2016-10-28,FUV1,27616216,15,146351,0.16396342673381348,17.791199684143066,6.0,True,872,191
2016-10-28-56,2016-10-28,FUV2,27616219,14,146366,-0.21304915198279997,17.791199684143066,6.0,True,222,4064
2016-10-28-57,2016-10-28,FUV1,27616219,12,146380,-0.20290344259618823,17.791199684143066,6.0,True,310,146
2016-10-28-58,2016-10-28,FUV2,27616219,14,146392,-0.060699554976019435,17.791199684143066,6.0,True,354,3855
2016-10-28-59,2016-10-28,FUV1,27616219,12,146406,0.10995528645163206,17.791199684143066,6.0,True,439,174
2016-10-28-60,2016-10-28,FUV2,27616219,12,146418,-0.21436301783302386,17.791199684143066,6.0,True,461,3844
2016-10-28-61,2016-10-28,FUV1,27616219,17,146430,-0.28071484411131414,17.791199684143066,6.0,True,521,355
2016-10-28-62,2016-10-28,FUV2,27616219,20,146447,-0.09103451266629206,17.791199684143066,6.0,True,521,3840
2016-10-28-63,2016-10-28,FUV2,27616219,16,146467,-0.2714420612791952,17.791199684143066,6.0,True,632,3865
2016-10-28-64,2016-10-28,FUV2,27616219,14,146483,-0.0942178084087949,17.791199684143066,6.0,True,650,3701
2016-10-28-65,2016-10-28,FUV1,27616219,16,146497,-0.17900513138287572,17.791199684143066,6.0,True,667,373
2016-10-28-66,2016-10-28,FUV2,27616219,12,146513,-0.34581243544442036,17.791199684143066,6.0,True,722,3887
2016-10-28-67,2016-10-28,FUV2,27616219,18,146525,-0.2784567605791622,17.791199684143066,6.0,True,808,3639
2016-10-28-68,2016-10-28,FUV1,27616222,23,146543,-0.08339935197387727,17.791199684143066,6.0,True,283,113
2016-10-28-69,2016-10-28,FUV2,27616222,24,146566,-0.1852852346284891,17.791199684143066,6.0,True,387,3668
2016-10-28-70,2016-10-28,FUV1,27616222,13,146590,0.07158823478178333,17.791199684143066,6.0,True,604,351
2016-10-28-71,2016-10-28,FUV1,27616222,12,146603,-0.1963084215429164,17.791199684143066,6.0,True,624,170
2016-10-28-72,2016-10-28,FUV2,27616222,15,146615,-0.1488291599191804,17.791199684143066,6.0,True,722,3952
2016-10-28-73,2016-10-28,FUV2,27616222,16,146630,-0.09383485449387904,17.791199684143066,6.0,True,767,3674
2016-10-28-74,2016-10-28,FUV2,27616225,17,146646,-0.12176507819867227,17.791199684143066,6.0,True,377,4031
2016-10-28-75,2016-10-28,FUV1,27616225,12,146663,0.2572269266781954,17.791199684143066,6.0,True,504,158
2016-10-28-76,2016-10-28,FUV2,27616225,12,146675,0.019739971010134354,17.791199684143066,6.0,True,547,3932
2016-10-28-77,2016-10-28,FUV2,27616225,13,146687,-0.15445751489512344,17.791199684143066,6.0,True,598,3838
2016-10-28-78,2016-10-28,FUV2,27616225,14,146700,-0.11522464096146239,17.791199684143066,6.0,True,653,3697
2016-10-28-79,2016-10-28,FUV2,27616225,18,146714,0.07187769061556387,17.791199684143066,6.0,True,679,4038
2016-10-28-80,2016-10-28,FUV1,27616225,12,146732,0.02283586106715905,17.791199684143066,6.0,True,729,328
2016-10-28-81,2016-10-28,FUV1,27616225,14,146744,-0.24391370369906729,17.791199684143066,6.0,True,755,147
2016-10-28-82,2016-10-28,FUV2,27616225,19,146758,-0.02560237631785873,17.791199684143066,6.0,True,766,3650
2016-10-28-83,2016-10-28,FUV2,27616225,30,146777,-0.05880614001564352,17.791199684143066,6.0,True,775,3752
2016-10-28-84,2016-10-28,FUV2,27616225,12,146807,-0.2790624481191836,17.791199684143066,6.0,True,792,3681
2016-10-28-85,2016-10-28,FUV2,27616225,25,146819,-0.046261973332476336,17.791199684143066,6.0,True,840,3922
2016-10-28-86,2016-10-28,FUV2,27616225,13,146844,-0.16216755185451703,17.791199684143066,6.0,True,891,4012
2016-10-28-87,2016-10-28,FUV2,27616227,12,146857,-0.1137349811160559,17.791199684143066,6.0,True,195,3986
2016-10-28-88,2016-10-28,FUV1,27616227,14,146869,-0.02836833252315641,17.791199684143066,6.0,True,283,349
2016-10-28-89,2016-10-28,FUV2,27616227,15,146883,-0.18282298498208682,17.791199684143066,6.0,True,302,3691
2016-10-28-90,2016-10-28,FUV1,27616227,34,146898,0.138331176836442,17.791199684143066,6.0,True,373,137
2016-10-28-91,2016-10-28,FUV2,27616227,13,146932,0.12153185309987923,17.791199684143066,6.0,True,447,4096
2016-10-28-92,2016-10-28,FUV2,27616227,14,146945,-0.24325372151104455,17.791199684143066,6.0,False,3834,464
2016-10-28-93,2016-10-28,FUV2,27616227,13,146959,-0.02485520379894104,17.791199684143066,6.0,True,576,3648
2016-10-28-94,2016-10-28,FUV2,27616227,12,146972,-0.04330490700747375,17.791199684143066,6.0,True,720,3679
2016-10-28-95,2016-10-28,FUV1,27616227,12,146984,-0.10292712214563997,17.791199684143066,6.0,True,723,239
2016-10-28-96,2016-10-28,FUV2,27616227,13,146996,-0.06383309852411417,17.791199684143066,6.0,True,742,3901
2016-10-28-97,2016-10-28,FUV2,27616227,19,147009,-0.29099574421890134,17.791199684143066,6.0,True,807,3861
2016-10-28-98,2016-10-28,FUV1,27616227,22,147028,0.11464026284876934,17.791199684143066,6.0,True,856,399
2016-10-28-99,2016-10-28,FUV2,27616230,23,147050,0.030876807786482434,17.791199684143066,6.0,True,457,3856
2016-10-28-100,2016-10-28,FUV2,27616230,16,147073,-0.03197702280587756,17.791199684143066,6.0,True,505,3872
2016-10-28-101,2016-10-28,FUV1,27616230,13,147089,0.20374160250950157,17.791199684143066,6.0,True,536,193
2016-10-28-102,2016-10-28,FUV2,27616230,12,147102,0.0007638757533115212,17.791199684143066,6.0,True,580,3733
2016-10-28-103,2016-10-28,FUV2,27616230,14,147114,-0.13082685126246552,17.791199684143066,6.0,True,627,4044
2016-10-28-104,2016-10-28,FUV2,27616230,14,147128,-0.21942849016512878,17.791199684143066,6.0,True,645,3734
2016-10-28-105,2016-10-28,FUV2,27616233,14,147142,-0.13425168444376423,17.791199684143066,6.0,True,204,3765
2016-10-28-106,2016-10-28,FUV2,27616233,14,147156,0.10601578807645147,17.791199684143066,6.0,True,217,3719
2016-10-28-107,2016-10-28,FUV2,27616233,12,147170,-0.16362710180083403,17.791199684143066,6.0,True,223,3845
2016-10-28-108,2016-10-28,FUV2,27616233,16,147182,-0.025354113314495094,17.791199684143066,6.0,True,253,3708
2016-10-28-109,2016-10-28,FUV2,27616233,12,147198,0.2508349031553107,17.791199684143066,6.0,True,280,3993
2016-10-28-110,2016-10-28,FUV2,27616233,16,147210,-0.06453237486251757,17.791199684143066,6.0,True,400,3727
2016-10-28-111,2016-10-28,FUV1,27616233,12,147226,0.08342944021053121,17.791199684143066,6.0,True,409,398
2016-10-28-112,2016-10-28,FUV2,27616233,12,147238,0.08379698816705505,17.791199684143066,6.0,True,423,3763
2016-10-28-113,2016-10-28,FUV2,27616233,16,147250,-0.1656544430512275,17.791199684143066,6.0,True,473,3847
2016-10-28-114,2016-10-28,FUV2,27616233,14,147266,-0.28936799511089845,17.791199684143066,6.0,True,596,3894
2016-10-28-115,2016-10-28,FUV2,27616233,21,147280,-0.09315067424974191,17.791199684143066,6.0,True,605,4014
2016-10-28-116,2016-10-28,FUV2,27616233,24,147301,-0.12328202867574961,17.791199684143066,6.0,True,649,3703
2016-10-28-117,2016-10-28,FUV2,27616233,27,147325,-0.07094945537533545,17.791199684143066,6.0,True,772,3849
2016-10-28-118,2016-10-28,FUV2,27616233,16,147352,-0.27560382466753297,17.791199684143066,6.0,True,773,3795
2016-10-28-119,2016-10-28,FUV1,27616233,14,147368,-0.30429691916237267,17.791199684143066,6.0,True,788,213
2016-10-28-120,2016-10-28,FUV1,27616233,13,147382,0.21093550004788333,17.791199684143066,6.0,True,847,239
2016-10-28-121,2016-10-28,FUV1,27616233,20,147395,0.004620551732211577,17.791199684143066,6.0,True,870,331
2016-10-28-122,2016-10-28,FUV2,27616233,18,147415,-0.08359086914326967,17.791199684143066,6.0,True,873,4100
2016-10-28-123,2016-10-28,FUV1,27616236,19,147433,-0.29042030340299146,17.791199684143066,6.0,True,199,198
2016-10-28-124,2016-10-28,FUV2,27616236,29,147452,-0.06670041375103392,17.791199684143066,6.0,True,241,3893
2016-10-28-125,2016-10-28,FUV2,27616236,19,147481,0.1573380540269622,17.791199684143066,6.0,True,264,3840
2016-10-28-126,2016-10-28,FUV2,27616236,13,147500,-0.06511722337117723,17.791199684143066,6.0,True,352,3693
2016-10-28-127,2016-10-28,FUV2,27616236,14,147513,-0.20578769649653392,17.791199684143066,6.0,True,367,3711
2016-10-28-128,2016-10-28,FUV2,27616236,31,147527,-0.16374655325660117,17.791199684143066,6.0,True,373,3842
2016-10-28-129,2016-10-28,FUV2,27616236,13,147558,-0.32676232701280794,17.791199684143066,6.0,True,406,3999
2016-10-28-130,2016-10-28,FUV2,27616236,14,147571,-0.3269946241900351,17.791199684143066,6.0,True,502,3947
2016-10-28-131,2016-10-28,FUV1,27616236,12,147585,-0.07022489322321525,17.791199684143066,6.0,True,638,395
2016-10-28-132,2016-10-28,FUV1,27616236,15,147597,0.07867142235063841,17.791199684143066,6.0,True,653,108
2016-10-28-133,2016-10-28,FUV2,27616236,12,147612,-0.00933611418068738,17.791199684143066,6.0,True,834,3727
2016-10-28-134,2016-10-28,FUV2,27616236,14,147624,0.007807465250769933,17.791199684143066,6.0,True,862,3658
2016-10-28-135,2016-10-28,FUV2,27616236,24,147638,-0.08998805341485586,17.791199684143066,6.0,True,881,3768
2016-10-28-136,2016-10-28,FUV2,27616238,16,147662,-0.1921621700671175,17.791199684143066,6.0,True,188,3822
2016-10-28-137,2016-10-28,FUV2,27616238,12,147678,0.06934023697115838,17.791199684143066,6.0,True,196,3739
2016-10-28-138,2016-10-28,FUV1,27616238,18,147690,0.15237528408132983,17.791199684143066,6.0,True,297,265
2016-10-28-139,2016-10-28,FUV2,27616238,16,147708,0.06379473568716618,17.791199684143066,6.0,True,317,3878
2016-10-28-140,2016-10-28,FUV2,27616238,17,147724,-0.2510449087560891,17.791199684143066,6.0,True,365,3985
2016-10-28-141,2016-10-28,FUV1,27616238,12,147741,-0.28129590465792825,17.791199684143066,6.0,True,401,175
2016-10-28-142,2016-10-28,FUV2,27616238,12,147753,-0.3087603012629949,17.791199684143066,6.0,True,632,4012
2016-10-28-143,2016-10-28,FUV2,27616238,13,147765,0.06881760429547389,17.791199684143066,6.0,True,638,4097
2016-10-28-144,2016-10-28,FUV1,27616238,18,147778,-0.0857486642381586,17.791199684143066,6.0,True,667,365
2016-10-28-145,2016-10-28,FUV1,27616238,22,147796,0.29517542080229225,17.791199684143066,6.0,True,805,100
2016-10-28-146,2016-10-28,FUV2,27616238,12,147818,-0.17520829740051433,17.791199684143066,6.0,True,814,4084
2016-10-28-147,2016-10-28,FUV1,27616238,16,147830,0.11041715442509795,17.791199684143066,6.0,True,888,385
2016-10-28-148,2016-10-28,FUV1,27616238,13,147846,0.20000432792172237,17.791199684143066,6.0,True,890,124
2016-10-28-149,2016-10-28,FUV2,27616241,13,147859,-0.14099781687961432,17.791199684143066,6.0,False,3683,216
2016-10-28-150,2016-10-28,FUV1,27616241,14,147872,-0.1274136596295134,17.791199684143066,6.0,True,402,392
2016-10-28-151,2016-10-28,FUV2,27616241,16,147886,0.10225388863387637,17.791199684143066,6.0,True,404,3901
2016-10-28-152,2016-10-28,FUV2,27616241,13,147902,-0.034140586598996166,17.791199684143066,6.0,True,457,4011
2016-10-28-153,2016-10-28,FUV2,27616241,17,147915,0.2102648486669907,17.791199684143066,6.0,True,465,3719
2016-10-28-154,2016-10-28,FUV1,27616241,13,147932,0.15001969529496653,17.791199684143066,6.0,True,597,134
2016-10-28-155,2016-10-28,FUV1,27616241,15,147945,-0.17890526843168392,17.791199684143066,6.0,True,641,201
2016-10-28-156,2016-10-28,FUV1,27616241,14,147960,0.17316594941266858,17.791199684143066,6.0,True,655,104
2016-10-28-157,2016-10-28,FUV1,27616241,15,147974,-0.09327274662299034,17.791199684143066,6.0,True,795,229
2016-10-28-158,2016-10-28,FUV2,27616241,14,147989,-0.06627012094685135,17.791199684143066,6.0,True,818,3872
2016-10-28-159,2016-10-28,FUV2,27616241,15,148003,-0.21089465153912684,17.791199684143066,6.0,True,832,3854
2016-10-28-160,2016-10-28,FUV2,27616241,12,148018,0.04978504664003271,17.791199684143066,6.0,True,875,4034
2016-10-28-161,2016-10-28,FUV2,27616244,13,148030,0.18213701180507474,17.791199684143066,6.0,True,311,3777
2016-10-28-162,2016-10-28,FUV2,27616244,30,148043,0.07152604997875404,17.791199684143066,6.0,True,329,4026
2016-10-28-163,2016-10-28,FUV1,27616244,13,148073,-0.09056685522896706,17.791199684143066,6.0,True,375,385
2016-10-28-164,2016-10-28,FUV2,27616244,13,148086,-0.23197380694915998,17.791199684143066,6.0,True,444,3885
2016-10-28-165,2016-10-28,FUV2,27616244,12,148099,-0.18986597996390428,17.791199684143066,6.0,True,459,3795
2016-10-28-166,2016-10-28,FUV2,27616244,12,148111,0.11292434708479984,17.791199684143066,6.0,True,525,3721
2016-10-28-167,2016-10-28,FUV1,27616244,14,148123,7.807310853215103e-16,17.791199684143066,6.0,True,560,163
2016-10-28-168,2016-10-28,FUV2,27616244,15,148137,-0.19149079682333445,17.791199684143066,6.0,True,654,4099
2016-10-28-169,2016-10-28,FUV2,27616244,13,148152,-0.050125470226198066,17.791199684143066,6.0,True,662,3742
2016-10-28-170,2016-10-28,FUV2,27616244,12,148165,-0.20630345186282048,17.791199684143066,6.0,False,4012,673
2016-10-28-171,2016-10-28,FUV2,27616244,12,148177,-0.12658113190022902,17.791199684143066,6.0,True,726,3824
2016-10-28-172,2016-10-28,FUV2,27616244,17,148189,0.09966855735957643,17.791199684143066,6.0,True,852,3885
2016-10-28-173,2016-10-28,FUV2,27616247,12,148206,-0.06646917238590287,17.791199684143066,6.0,True,247,4081
2016-10-28-174,2016-10-28,FUV1,27616247,13,148218,-0.3396861590902995,17.791199684143066,6.0,True,254,306
2016-10-28-175,2016-10-28,FUV2,27616247,14,148231,0.05786219570178322,17.791199684143066,6.0,True,283,3714
2016-10-28-176,2016-10-28,FUV1,27616247,15,148245,0.25449030652449095,17.791199684143066,6.0,True,375,380
2016-10-28-177,2016-10-28,FUV1,27616247,14,148260,0.027390658424866515,17.791199684143066,6.0,True,414,238
2016-10-28-178,2016-10-28,FUV1,27616247,13,148274,-0.33975472931798967,17.791199684143066,6.0,True,448,405
2016-10-28-179,2016-10-28,FUV1,27616247,13,148287,0.09126524898413582,17.791199684143066,6.0,True,468,147
2016-10-28-180,2016-10-28,FUV1,27616247,12,148300,0.011626566885963082,17.791199684143066,6.0,True,566,318
2016-10-28-181,2016-10-28,FUV1,27616247,14,148312,-0.09281269762107082,17.791199684143066,6.0,True,649,239
2016-10-28-182,2016-10-28,FUV2,27616247,12,148326,-0.014686853470706227,17.791199684143066,6.0,True,679,3750
2016-10-28-183,2016-10-28,FUV1,27616247,17,148338,-0.19186534927831983,17.791199684143066,6.0,True,683,185
2016-10-28-184,2016-10-28,FUV2,27616247,14,148355,-0.12183711538688419,17.791199684143066,6.0,True,696,3657
2016-10-28-185,2016-10-28,FUV1,27616247,14,148369,0.1116012912588023,17.791199684143066,6.0,True,775,407
2016-10-28-186,2016-10-28,FUV2,27616247,14,148383,0.10311900975869276,17.791199684143066,6.0,True,799,3702
2016-10-28-187,2016-10-28,FUV1,27616247,18,148397,0.06160325945289077,17.791199684143066,6.0,True,815,260
2016-10-28-188,2016-10-28,FUV1,27616247,21,148415,0.2652641722522691,17.791199684143066,6.0,True,853,395
2016-10-28-189,2016-10-28,FUV1,27616247,17,148436,-0.023942476532435635,17.791199684143066,6.0,True,866,137
2016-10-28-190,2016-10-28,FUV1,27616249,12,148453,0.020679122489978934,17.791199684143066,6.0,True,199,227
2016-10-28-191,2016-10-28,FUV2,27616249,15,148465,-0.04394829927526693,17.791199684143066,6.0,True,205,3771
2016-10-28-192,2016-10-28,FUV2,27616249,12,148480,-0.1158787990278988,17.791199684143066,6.0,True,369,3827
2016-10-28-193,2016-10-28,FUV1,27616249,12,148492,-0.33735678221738263,17.791199684143066,6.0,True,375,224
2016-10-28-194,2016-10-28,FUV2,27616249,15,148504,-0.041063178415119986,17.791199684143066,6.0,True,600,4054
2016-10-28-195,2016-10-28,FUV2,27616249,14,148519,0.13887627244919384,17.791199684143066,6.0,True,672,3692
2016-10-28-196,2016-10-28,FUV1,27616249,17,148533,0.07799005994229377,17.791199684143066,6.0,True,700,340
2016-10-28-197,2016-10-28,FUV2,27616249,24,148550,0.06535869437050638,17.791199684143066,6.0,True,871,3986
2016-10-28-198,2016-10-28,FUV2,27616249,13,148574,-0.22722749099853398,17.791199684143066,6.0,True,878,3947
2016-10-28-199,2016-10-28,FUV1,27616252,18,148587,-0.059298929993409716,17.791199684143066,6.0,True,260,142
2016-10-28-200,2016-10-28,FUV1,27616252,16,148605,-0.13999813043396372,17.791199684143066,6.0,True,290,156
2016-10-28-201,2016-10-28,FUV1,27616252,15,148621,0.17629207267454058,17.791199684143066,6.0,True,303,312
2016-10-28-202,2016-10-28,FUV2,27616252,21,148636,-0.29020076418835805,17.791199684143066,6.0,False,3646,370
2016-10-28-203,2016-10-28,FUV2,27616252,13,148657,-0.09417528448163726,17.791199684143066,6.0,True,381,3850
2016-10-28-204,2016-10-28,FUV2,27616252,16,148670,0.04125364238902277,17.791199684143066,6.0,True,403,3948
2016-10-28-205,2016-10-28,FUV2,27616252,16,148686,-0.11837336956011976,17.791199684143066,6.0,True,497,3876
2016-10-28-206,2016-10-28,FUV2,27616252,12,148702,-0.014507721425614423,17.791199684143066,6.0,True,572,3999
2016-10-28-207,2016-10-28,FUV2,27616252,13,148714,0.3419241006140107,17.791199684143066,6.0,True,581,3832
2016-10-28-208,2016-10-28,FUV1,27616252,13,148727,-0.22599782495332052,17.791199684143066,6.0,True,706,307
2016-10-28-209,2016-10-28,FUV1,27616252,12,148740,-0.06293970051535154,17.791199684143066,6.0,True,822,118
2016-10-28-210,2016-10-28,FUV1,27616255,22,148752,0.03877791361218315,17.791199684143066,6.0,True,236,198
2016-10-28-211,2016-10-28,FUV2,27616255,13,148774,0.33938414816920226,17.791199684143066,6.0,True,258,3946
2016-10-28-212,2016-10-28,FUV1,27616255,21,148787,0.13764217990151675,17.791199684143066,6.0,True,296,386
2016-10-28-213,2016-10-28,FUV1,27616255,15,148808,0.1950611938427963,17.791199684143066,6.0,True,340,108
2016-10-28-214,2016-10-28,FUV2,27616255,12,148823,0.23565091747239642,17.791199684143066,6.0,True,360,4016
2016-10-28-215,2016-10-28,FUV1,27616255,13,148835,0.2613371244897864,17.791199684143066,6.0,True,376,317
2016-10-28-216,2016-10-28,FUV2,27616255,19,148848,0.3094636331973929,17.791199684143066,6.0,True,389,3890
2016-10-28-217,2016-10-28,FUV2,27616255,26,148867,0.1891640737923052,17.791199684143066,6.0,True,451,4094
2016-10-28-218,2016-10-28,FUV1,27616255,23,148893,0.09183252605932937,17.791199684143066,6.0,True,604,250
2016-10-28-219,2016-10-28,FUV1,27616255,17,148916,0.23477688865304042,17.791199684143066,6.0,True,612,108
2016-10-28-220,2016-10-28,FUV1,27616255,13,148933,-0.2726478687722513,17.791199684143066,6.0,True,612,398
2016-10-28-221,2016-10-28,FUV1,27616255,12,148946,0.05311049339273736,17.791199684143066,6.0,True,805,388
2016-10-28-222,2016-10-28,FUV2,27616255,17,148958,-0.0009070210140802314,17.791199684143066,6.0,True,822,3766
2016-10-28-223,2016-10-28,FUV1,27616255,13,148975,0.1895627266351839,17.791199684143066,6.0,True,856,158
