dataset,fsn,saa,azimuth,length,width,num_pixels,charge
2014b,4609756,True,86.142,18.849,2.264,22,18066.918
2014b,4609756,True,21.846,13.013,1.486,25,106733.156
2014b,4609759,True,168.820,21.206,1.588,39,159120.594
2014b,4609762,True,81.484,10.586,1.244,16,22959.750
2014b,4609762,True,106.864,23.617,1.289,34,169292.656
2014b,4609762,True,120.274,14.770,1.142,17,12731.499
2014b,4609762,True,107.859,11.821,2.136,19,33394.086
2014b,4609765,True,117.053,19.080,1.274,30,58672.586
2014b,4609765,True,117.376,27.918,1.953,58,379428.719
2014b,4609765,True,117.494,58.819,1.234,71,129496.828
2014b,4609765,True,133.633,17.666,1.198,40,343787.594
2014b,4609765,True,124.526,20.462,4.060,37,263415.469
2014b,4609765,True,107.500,13.459,2.015,19,22780.000
2014b,4609768,True,126.963,13.470,1.915,27,46273.414
2014b,4609768,True,131.248,23.416,1.231,35,58722.832
2014b,4609768,True,80.871,97.335,1.909,116,728615.750
2014b,4609768,True,81.114,39.833,1.296,47,314450.781
2014b,4609768,True,69.669,18.444,1.282,24,35338.582
2014b,4609771,True,104.274,20.956,0.920,27,43509.582
2014b,4609771,True,135.226,33.168,2.170,57,148286.094
2014b,4609771,True,124.556,39.340,2.623,91,896004.875
2014b,4609771,True,128.259,25.766,1.280,38,64936.164
2014b,4609771,True,93.019,18.406,1.751,23,17804.336
2014b,4609771,True,98.172,31.111,1.221,32,27556.002
2014b,4609771,True,98.611,20.049,3.513,32,26317.750
2014b,4609774,True,128.255,20.951,1.305,32,52495.250
2014b,4609774,True,126.124,14.558,1.625,19,32550.838
2014b,4609774,True,127.858,18.594,1.148,23,40330.836
2014b,4609774,True,127.328,34.857,1.571,39,80296.414
2014b,4609774,True,136.203,21.337,1.359,33,127630.906
2014b,4609774,True,118.633,61.839,1.368,101,356852.750
2014b,4609774,True,161.357,15.011,1.244,18,19728.918
2014b,4609774,True,125.953,17.950,1.241,24,43333.750
2014b,4609774,True,114.363,17.807,1.267,29,64208.164
2014b,4609774,True,121.880,31.147,1.765,40,33247.914
2014b,4609774,True,121.664,49.428,1.293,64,41966.918
2014b,4609774,True,126.726,15.367,1.229,23,86551.914
2014b,4609774,True,56.364,9.768,5.891,30,61844.156
2014b,4609774,True,108.806,16.208,3.757,25,33848.414
2014b,4609777,True,95.914,15.987,2.288,26,22088.916
2014b,4609777,True,141.739,22.715,1.831,27,56375.332
2014b,4609777,True,130.276,25.368,1.253,37,79729.000
2014b,4609777,True,137.547,28.760,3.293,57,209520.000
2014b,4609777,True,176.503,23.708,4.150,39,64288.242
2014b,4609780,True,131.042,22.006,2.056,48,228689.094
2014b,4609780,True,18.506,13.282,1.320,17,12925.750
2014b,4609780,True,132.241,18.585,1.881,29,63539.172
2014b,4609780,True,6.377,12.289,1.338,20,119284.406
2014b,4609780,True,129.583,20.281,1.650,34,22333.750
2014b,4609780,True,128.673,31.628,1.963,39,39849.922
2014b,4609780,True,132.263,15.663,1.352,27,35275.500
2014b,4609780,True,112.176,18.781,1.361,28,76806.836
2014b,4609780,True,134.140,16.524,1.407,24,116725.758
2014b,4609783,True,118.380,12.967,1.296,18,13260.334
2014b,4609783,True,115.790,27.052,3.491,49,85946.258
2014b,4609783,True,155.595,14.558,1.130,17,10794.916
2014b,4609783,True,141.813,65.378,3.003,117,185066.266
2014b,4609783,True,138.406,24.828,1.702,50,185725.750
2014b,4609783,True,127.710,39.686,1.167,56,216306.594
2014b,4609783,True,113.733,13.657,3.705,22,30099.590
2014b,4609786,True,68.357,17.222,2.780,21,36008.086
2014b,4609786,True,56.302,15.580,1.768,18,19809.752
2014b,4609786,True,128.981,19.954,1.448,28,31676.332
2014b,4609786,True,172.668,12.951,1.514,22,14623.086
2014b,4609786,True,146.749,70.449,1.633,99,192391.656
2014b,4609786,True,134.956,19.611,2.629,33,36035.332
2014b,4609786,True,152.010,14.142,2.396,25,47137.832
2014b,4609786,True,172.879,12.188,1.888,24,166147.922
2014b,4609786,True,132.953,27.532,1.979,46,159911.500
2014b,4609786,True,68.251,37.391,1.725,46,31997.168
2014b,4609786,True,140.986,57.480,1.781,93,128283.672
2014b,4609786,True,153.845,14.476,1.472,24,48515.168
2014b,4609786,True,137.185,19.864,1.780,33,36834.414
2014b,4609786,True,146.504,16.002,3.696,35,86168.578
2014b,4609786,True,150.505,15.044,1.469,18,24531.584
2014b,4609789,True,150.120,15.814,1.339,22,148530.500
2014b,4609789,True,144.026,16.562,1.471,27,38393.586
2014b,4609789,True,149.389,19.080,4.064,62,158066.188
2014b,4609789,True,142.422,21.055,1.892,37,55512.594
2014b,4609789,True,153.854,18.785,1.377,26,43151.750
2014b,4609789,True,9.195,12.254,1.147,20,66112.914
2014b,4609789,True,119.772,12.844,2.775,25,23914.000
2014b,4609789,True,117.741,15.218,5.202,39,32110.916
2014b,4609789,True,148.854,37.153,2.444,65,293996.750
2014b,4609789,True,158.755,35.035,3.990,79,165699.109
2014b,4609789,True,145.838,12.319,1.199,21,59741.258
2014b,4609789,True,147.667,13.532,1.082,20,31332.334
2014b,4609789,True,129.614,8.038,3.719,42,376912.750
2014b,4609789,True,125.873,14.679,2.719,32,65232.914
2014b,4609789,True,150.558,19.030,2.413,23,42936.668
2014b,4609789,True,160.406,15.102,2.259,25,44448.332
2014b,4609789,True,132.457,38.558,2.939,69,296276.000
2014b,4609789,True,0.680,12.244,0.805,20,172780.609
2014b,4609789,True,129.260,17.894,1.280,30,79172.922
2014b,4609789,True,128.910,33.163,1.377,47,67439.406
2014b,4609792,True,143.387,15.141,1.909,51,349998.031
2014b,4609792,True,117.089,14.623,4.964,36,67077.672
2014b,4609792,True,176.269,18.204,4.977,44,56074.746
2014b,4609792,True,145.832,14.237,1.680,29,60692.004
2014b,4609792,True,156.309,15.449,2.724,21,13554.582
2014b,4609792,True,128.677,15.888,5.001,23,22393.834
2014b,4609792,True,143.653,19.251,1.271,29,32214.832
2014b,4609792,True,142.199,13.447,2.557,26,73361.172
2014b,4609792,True,150.842,90.203,1.939,134,698597.000
2014b,4609792,True,130.633,13.659,1.565,31,54503.664
2014b,4609792,True,39.605,12.162,2.926,29,47711.750
2014b,4609792,True,156.914,17.072,1.750,30,159383.938
2014b,4609792,True,149.488,14.726,1.160,22,35092.914
2014b,4609792,True,135.088,16.694,1.594,34,79467.828
2014b,4609792,True,165.264,13.933,2.055,23,76550.844
2014b,4609792,True,102.993,11.623,4.564,25,42447.250
2014b,4609792,True,145.220,31.336,10.393,82,313180.656
2014b,4609795,True,139.998,22.939,2.608,38,66144.250
2014b,4609795,True,148.255,19.532,2.410,43,98715.734
2014b,4609795,True,20.866,17.012,6.309,27,36049.250
2014b,4609795,True,142.314,26.806,2.708,52,150409.906
2014b,4609795,True,139.816,92.279,3.760,110,152740.922
2014b,4609795,True,144.652,18.035,3.127,33,64909.172
2014b,4609795,True,123.438,20.174,1.617,34,144229.250
2014b,4609795,True,149.095,33.974,2.730,73,153392.172
2014b,4609795,True,165.138,11.860,6.257,32,42692.500
2014b,4609795,True,164.190,15.059,6.357,30,78525.672
2014b,4609795,True,131.912,15.057,5.100,40,111498.422
2014b,4609795,True,133.943,53.411,3.542,90,128337.828
2014b,4609795,True,137.698,58.136,1.720,101,159054.062
2014b,4609795,True,167.592,21.600,2.004,26,118705.750
2014b,4609795,True,142.050,14.769,2.566,27,72274.922
2014b,4609795,True,154.386,14.815,1.445,27,89902.844
2014b,4609795,True,155.921,15.807,3.903,33,69528.172
2014b,4609795,True,144.474,26.109,4.722,33,46140.250
2014b,4609795,True,163.389,21.015,1.352,28,31456.670
2014b,4609795,True,151.087,40.746,1.275,56,59377.500
2014b,4609795,True,129.805,16.647,6.697,42,131613.078
2014b,4609795,True,13.914,38.204,9.945,81,185640.172
2014b,4609795,True,152.215,32.900,1.805,54,167117.984
2014b,4609795,True,147.797,34.923,5.000,49,43739.332
2014b,4609795,True,72.397,23.094,1.718,30,34898.332
2014b,4609795,True,156.008,16.136,2.235,36,159150.500
2014b,4609795,True,70.181,49.073,5.566,94,102315.586
2014b,4609795,True,144.366,14.587,3.207,28,88960.094
2014b,4609795,True,134.804,22.158,4.372,41,49698.832
2014b,4609795,True,102.339,22.764,3.050,33,42174.832
2014b,4609795,True,174.102,23.258,2.313,38,84077.500
2014b,4609795,True,149.688,39.686,4.157,85,112746.250
2014b,4609795,True,50.393,25.335,1.110,30,29419.834
2014b,4609795,True,147.289,17.426,1.621,28,50945.414
2014b,4609798,True,128.715,16.300,2.297,31,51901.746
2014b,4609798,True,158.373,96.069,2.299,159,378671.250
2014b,4609798,True,162.284,50.273,2.491,77,114888.680
2014b,4609798,True,135.975,53.656,2.203,82,174613.828
2014b,4609798,True,152.643,26.405,3.860,50,70748.078
2014b,4609798,True,141.025,48.627,3.425,76,126673.594
2014b,4609798,True,133.924,18.472,2.373,28,50574.996
2014b,4609798,True,147.074,16.968,1.164,24,44140.668
2014b,4609798,True,97.349,11.678,3.474,26,41160.746
2014b,4609798,True,64.002,17.015,3.997,37,75107.594
2014b,4609798,True,156.611,10.586,3.579,28,51447.000
2014b,4609798,True,142.982,13.887,2.424,31,80047.422
2014b,4609798,True,91.146,13.263,2.261,16,20700.750
2014b,4609798,True,6.288,15.085,1.002,18,17845.168
2014b,4609798,True,146.430,61.965,5.324,130,459973.406
2014b,4609798,True,148.849,18.426,1.226,23,16887.416
2014b,4609798,True,143.586,28.597,2.513,43,51554.078
2014b,4609798,True,152.993,48.164,1.089,63,138078.578
2014b,4609798,True,158.204,25.676,2.031,43,63345.578
2014b,4609798,True,170.494,15.645,3.202,33,123673.266
2014b,4609798,True,143.279,15.822,1.216,19,27936.836
2014b,4609798,True,146.531,14.691,3.730,27,40519.418
2014b,4609798,True,137.211,69.684,3.520,152,408865.188
2014b,4609798,True,151.641,19.877,1.516,31,79911.078
2014b,4609798,True,157.436,21.514,2.842,36,54479.332
2014b,4609798,True,53.790,15.951,5.720,27,25804.834
2014b,4609798,True,155.422,13.497,1.167,20,25065.334
2014b,4609798,True,153.001,12.967,2.649,24,34244.250
2014b,4609798,True,154.090,20.362,3.169,32,30089.250
2014b,4609798,True,166.210,21.169,4.936,42,82531.750
2014b,4609798,True,136.257,14.344,3.375,34,46808.250
2014b,4609798,True,134.618,69.352,5.799,159,573936.250
2014b,4609798,True,176.512,12.497,2.090,19,18224.082
2014b,4609798,True,119.036,17.562,4.796,34,61603.672
2014b,4609798,True,160.405,13.415,6.581,33,64591.336
2014b,4609798,True,149.365,13.338,2.187,25,99974.500
2014b,4609798,True,151.570,27.383,3.891,43,103080.000
2014b,4609798,True,153.863,15.372,2.425,27,69489.414
2014b,4609798,True,134.879,20.265,2.532,30,65255.672
2014b,4609801,True,24.370,16.586,4.019,33,98553.000
2014b,4609801,True,158.311,16.703,1.762,23,48459.086
2014b,4609801,True,143.441,18.562,1.196,24,148411.750
2014b,4609801,True,150.888,14.711,5.419,31,50329.914
2014b,4609801,True,146.971,19.330,1.997,42,184511.672
2014b,4609801,True,167.066,11.839,1.255,20,50871.578
2014b,4609801,True,152.193,12.410,7.636,43,75999.594
2014b,4609801,True,141.038,48.489,4.103,101,271810.875
2014b,4609801,True,152.166,14.081,5.519,35,46563.172
2014b,4609801,True,128.064,17.685,3.122,31,43978.332
2014b,4609801,True,12.703,14.423,2.883,34,85234.500
2014b,4609801,True,175.548,17.926,1.248,25,47229.750
2014b,4609801,True,139.875,15.381,1.399,31,128412.750
2014b,4609801,True,154.955,13.802,4.301,37,74289.586
2014b,4609801,True,138.045,29.531,4.267,71,220728.891
2014b,4609801,True,156.707,12.026,1.204,17,23866.668
2014b,4609801,True,162.492,13.998,5.265,28,68587.500
2014b,4609801,True,156.518,61.280,4.986,147,300827.312
2014b,4609801,True,145.379,48.820,2.476,73,101691.078
2014b,4609801,True,159.892,21.160,1.472,46,454048.688
2014b,4609801,True,155.650,12.613,1.584,29,277221.000
2014b,4609801,True,158.822,20.069,1.264,37,449593.875
2014b,4609801,True,3.451,14.909,3.144,27,23835.582
2014b,4609801,True,154.367,31.928,5.725,77,275678.875
2014b,4609801,True,151.923,28.095,3.431,48,175806.906
2014b,4609801,True,151.677,20.327,6.322,52,147392.578
2014b,4609801,True,143.596,14.477,2.448,30,109828.172
2014b,4609801,True,144.257,13.628,3.339,28,69850.586
2014b,4609801,True,7.730,13.507,5.937,27,41385.168
2014b,4609801,True,157.255,37.190,5.522,53,58615.418
2014b,4609801,True,152.570,13.733,1.171,22,54304.492
2014b,4609801,True,161.635,10.737,1.543,28,36331.164
2014b,4609801,True,150.534,15.473,3.404,28,35384.996
2014b,4609801,True,128.701,17.750,2.149,31,76037.906
2014b,4609801,True,158.564,9.637,1.872,24,52182.750
2014b,4609801,True,24.038,56.026,1.480,100,1485182.875
2014b,4609801,True,149.926,13.020,2.732,25,44417.832
2014b,4609801,True,166.636,13.858,3.349,29,70188.914
2014b,4609801,True,142.228,24.429,2.984,54,95406.664
2014b,4609801,True,156.658,14.887,1.205,18,35798.586
2014b,4609801,True,150.282,12.463,3.259,27,43192.086
2014b,4609801,True,155.459,21.228,7.854,51,166934.516
2014b,4609801,True,140.736,14.747,4.044,34,98642.594
2014b,4609801,True,129.527,48.026,3.233,94,464059.812
2014b,4609801,True,164.456,13.770,2.048,22,45996.500
2014b,4609801,True,136.889,21.740,4.845,44,57221.590
2014b,4609801,True,148.447,14.903,6.134,44,146950.812
2014b,4609801,True,5.570,26.894,3.665,67,432600.812
2014b,4609801,True,157.498,14.562,6.139,32,112912.008
2014b,4609801,True,161.719,16.153,2.722,25,34282.750
2014b,4609801,True,150.385,27.568,9.721,115,342627.781
2014b,4609801,True,160.234,17.830,5.478,48,75654.672
2014b,4609804,True,87.470,12.437,1.924,21,31708.916
2014b,4609804,True,98.144,14.759,2.130,24,31996.418
2014b,4609804,True,141.489,17.326,1.271,21,45606.082
2014b,4609804,True,137.135,27.827,2.057,42,105783.258
2014b,4609804,True,155.902,13.847,4.989,29,77206.656
2014b,4609804,True,159.241,27.544,3.289,59,171912.594
2014b,4609804,True,7.078,9.781,4.422,36,104983.094
2014b,4609804,True,158.695,12.713,2.624,31,185360.172
2014b,4609804,True,54.016,20.621,3.391,32,37916.082
2014b,4609804,True,151.133,36.577,2.265,75,116178.828
2014b,4609804,True,162.562,15.137,1.718,23,73522.414
2014b,4609804,True,89.510,12.831,8.784,46,107943.164
2014b,4609804,True,152.509,20.111,2.305,30,41400.922
2014b,4609804,True,147.295,73.468,2.963,95,199014.281
2014b,4609804,True,162.129,14.000,1.222,20,58252.500
2014b,4609804,True,164.476,15.169,2.401,37,154589.500
2014b,4609804,True,138.115,16.455,6.019,38,80149.000
2014b,4609804,True,112.685,10.888,2.954,25,57883.492
2014b,4609804,True,151.333,18.156,4.788,39,48881.082
2014b,4609804,True,140.104,14.984,1.428,28,67682.422
2014b,4609804,True,143.991,44.570,4.060,79,122588.094
2014b,4609804,True,157.055,39.184,5.535,107,297627.062
2014b,4609804,True,170.195,24.334,4.257,55,131990.750
2014b,4609804,True,145.170,15.682,2.715,22,47235.332
2014b,4609804,True,175.214,13.241,2.747,28,72505.414
2014b,4609804,True,162.104,12.689,1.423,20,23586.418
2014b,4609804,True,130.765,12.497,2.297,31,140736.828
2014b,4609804,True,140.368,43.191,1.745,88,961196.625
2014b,4609804,True,155.702,30.850,2.479,41,46528.586
2014b,4609804,True,76.737,34.328,3.094,39,44582.996
2014b,4609804,True,157.369,40.161,2.892,73,258939.625
2014b,4609804,True,159.727,23.699,4.537,48,91101.836
2014b,4609804,True,145.670,18.896,1.304,30,100973.422
2014b,4609804,True,170.654,34.088,1.665,59,573907.875
2014b,4609804,True,148.854,25.955,3.270,42,78806.922
2014b,4609804,True,140.861,15.108,2.978,38,209946.250
2014b,4609804,True,160.241,13.775,2.345,23,45821.664
2014b,4609804,True,32.170,28.483,5.485,84,242091.422
2014b,4609804,True,154.650,15.528,1.283,22,23982.086
2014b,4609804,True,154.100,33.113,3.007,53,119957.500
2014b,4609804,True,156.552,18.857,3.020,41,107805.172
2014b,4609804,True,160.650,27.576,1.610,33,65846.750
2014b,4609804,True,157.263,18.333,5.223,34,77027.664
2014b,4609804,True,99.391,12.880,2.067,32,102726.750
2014b,4609804,True,136.816,31.517,3.204,57,108659.156
2014b,4609804,True,128.392,16.090,2.087,27,86478.414
2014b,4609804,True,152.283,18.533,2.363,40,197580.328
2014b,4609804,True,11.985,11.141,7.346,34,65975.586
2014b,4609804,True,141.650,13.290,2.352,23,38890.836
2014b,4609804,True,168.088,13.130,2.270,25,45877.328
2014b,4609804,True,151.693,30.578,4.644,104,265738.750
2014b,4609804,True,138.200,29.816,4.422,79,473176.062
2014b,4609804,True,146.655,20.572,3.173,32,59525.500
2014b,4609804,True,158.489,15.195,1.304,24,45104.000
2014b,4609804,True,78.759,16.892,7.628,45,95132.914
2014b,4609804,True,133.334,22.080,6.336,47,183621.344
2014b,4609804,True,132.295,11.454,3.709,34,45207.086
2014b,4609804,True,152.574,17.485,2.149,31,67090.250
2014b,4609807,True,89.871,21.517,0.342,22,26477.332
2014b,4609807,True,79.446,8.038,1.261,14,62907.574
2014b,4609807,True,165.711,12.707,4.055,27,74709.000
2014b,4609807,True,30.901,11.976,7.720,49,138595.156
2014b,4609807,True,168.596,18.215,2.255,35,90877.336
2014b,4609807,True,162.058,11.366,2.899,27,93052.750
2014b,4609807,True,152.518,31.698,1.771,45,67801.844
2014b,4609807,True,15.774,13.309,4.640,38,123220.844
2014b,4609807,True,158.416,19.491,1.594,23,49140.668
2014b,4609807,True,150.949,17.697,3.407,34,61543.086
2014b,4609807,True,155.389,28.332,3.732,43,67146.078
2014b,4609807,True,130.136,18.027,3.888,38,57569.664
2014b,4609807,True,148.805,10.450,5.341,48,119688.258
2014b,4609807,True,157.214,13.802,1.079,16,18869.168
2014b,4609807,True,8.337,13.144,1.735,26,199484.906
2014b,4609807,True,140.742,18.546,2.374,21,56524.836
2014b,4609807,True,154.975,28.191,1.456,31,53267.828
2014b,4609807,True,137.398,16.856,4.025,34,48622.164
2014b,4609807,True,1.359,12.181,1.123,22,98251.422
2014b,4609807,True,176.269,17.218,3.615,59,270639.500
2014b,4609807,True,166.566,49.696,5.039,82,187345.500
2014b,4609807,True,152.980,25.188,2.007,42,91654.750
2014b,4609807,True,134.363,18.782,1.106,21,14881.250
2014b,4609807,True,155.869,19.294,4.958,43,81513.578
2014b,4609807,True,161.640,16.326,3.226,48,117994.336
2014b,4609807,True,155.243,14.208,1.334,24,41817.918
2014b,4609807,True,145.329,12.401,2.421,24,44381.664
2014b,4609807,True,141.161,24.281,1.649,39,128648.172
2014b,4609807,True,153.401,11.217,4.173,52,211360.375
2014b,4609807,True,160.021,12.295,4.576,32,92834.328
2014b,4609807,True,156.293,17.546,2.208,30,104988.070
2014b,4609807,True,7.526,12.683,2.277,21,76133.672
2014b,4609807,True,19.571,11.664,2.320,27,122022.250
2014b,4609807,True,160.148,14.956,2.467,33,129616.594
2014b,4609807,True,160.041,21.289,5.058,43,74105.414
2014b,4609807,True,143.310,39.722,9.038,117,515687.812
2014b,4609807,True,149.713,18.476,4.986,42,79726.422
2014b,4609807,True,25.702,16.230,1.806,34,180575.922
2014b,4609807,True,155.665,18.249,1.760,30,131624.406
2014b,4609807,True,161.100,12.482,2.714,23,77263.672
2014b,4609807,True,122.088,19.240,6.507,37,100943.672
2014b,4609807,True,162.391,23.132,3.067,48,255174.750
2014b,4609807,True,145.150,19.520,1.761,32,57476.754
2014b,4609807,True,152.671,22.096,2.277,41,94909.336
2014b,4609807,True,161.566,28.555,1.622,45,152325.734
2014b,4609807,True,156.522,19.055,1.426,29,61924.172
2014b,4609807,True,127.746,14.520,5.856,46,60917.836
2014b,4609807,True,137.382,18.091,2.980,32,46575.918
2014b,4609807,True,146.693,13.314,8.112,36,64993.422
2014b,4609807,True,147.442,22.936,1.560,41,124914.406
2014b,4609807,True,111.989,10.856,6.067,36,61215.750
2014b,4609807,True,9.585,9.578,4.012,24,50782.000
2014b,4609807,True,139.118,28.619,1.507,58,183444.828
2014b,4609807,True,156.996,23.049,0.918,33,141078.328
2014b,4609807,True,169.438,19.508,1.312,32,173184.078
2014b,4609807,True,162.524,19.637,5.555,43,83473.750
2014b,4609807,True,148.625,20.698,14.529,72,125115.328
2014b,4609807,True,132.630,22.759,3.826,36,65330.918
2014b,4609807,True,142.211,14.475,6.282,39,88398.750
2014b,4609807,True,12.829,21.232,1.520,38,278891.406
2014b,4609807,True,175.043,13.681,3.432,22,33731.500
2014b,4609807,True,134.885,40.421,6.218,91,202229.094
2014b,4609807,True,158.874,13.865,2.313,24,66414.828
2014b,4609807,True,137.318,29.729,1.341,43,111531.016
2014b,4609807,True,167.040,19.343,1.417,26,51892.164
2014b,4609807,True,172.543,11.905,5.740,33,64926.922
2014b,4609807,True,135.352,24.532,4.323,47,64082.078
2014b,4609810,True,141.418,18.555,2.187,28,69339.586
2014b,4609810,True,141.527,14.069,2.389,33,72921.000
2014b,4609810,True,90.000,10.967,0.000,12,16933.248
2014b,4609810,True,59.866,14.026,5.380,27,63793.086
2014b,4609810,True,154.541,24.255,6.801,45,217677.281
2014b,4609810,True,168.612,36.386,3.583,67,161540.328
2014b,4609810,True,175.981,27.725,2.147,45,95185.656
2014b,4609810,True,74.011,17.906,1.404,22,17905.834
2014b,4609810,True,165.217,28.934,2.958,63,243492.797
2014b,4609810,True,168.431,22.984,1.947,30,62096.414
2014b,4609810,True,62.111,23.620,5.997,56,97624.422
2014b,4609810,True,162.793,42.268,3.523,93,186397.422
2014b,4609810,True,169.183,28.897,3.382,35,67825.750
2014b,4609810,True,139.506,19.323,3.590,33,75851.586
2014b,4609810,True,153.291,41.191,3.768,72,142344.594
2014b,4609810,True,177.736,15.362,4.664,41,89651.500
2014b,4609810,True,143.510,12.185,4.847,33,94756.586
2014b,4609810,True,151.313,24.768,2.464,42,86814.414
2014b,4609810,True,160.850,19.472,2.592,32,87162.078
2014b,4609810,True,168.487,18.199,5.831,39,103126.758
2014b,4609810,True,141.670,15.447,4.654,30,100125.672
2014b,4609810,True,159.143,10.506,1.659,19,46554.086
2014b,4609810,True,165.170,52.150,6.320,93,241037.750
2014b,4609810,True,159.292,14.041,1.369,20,52378.000
2014b,4609810,True,61.076,12.697,2.791,33,85842.586
2014b,4609810,True,148.934,17.692,2.177,32,50645.918
2014b,4609810,True,163.938,42.621,3.834,78,134833.578
2014b,4609810,True,171.585,22.537,4.660,43,82429.328
2014b,4609810,True,147.521,17.015,2.415,24,38064.414
2014b,4609810,True,147.566,25.387,2.145,41,115038.406
2014b,4609810,True,163.945,14.213,1.741,23,28151.336
2014b,4609810,True,174.588,14.656,5.630,39,227930.859
2014b,4609810,True,158.595,21.910,2.456,34,64598.332
2014b,4609810,True,163.896,187.353,3.056,265,490474.688
2014b,4609810,True,84.289,17.988,3.271,33,97355.500
2014b,4609810,True,169.327,14.841,2.105,27,39485.332
2014b,4609810,True,155.315,16.043,1.863,31,81734.578
2014b,4609810,True,162.771,14.701,1.706,27,91586.078
2014b,4609810,True,161.445,16.393,1.726,24,35930.918
2014b,4609810,True,162.000,30.467,4.627,47,134583.344
2014b,4609810,True,12.840,13.888,4.333,37,128009.672
2014b,4609810,True,3.467,13.206,7.255,58,124518.914
2014b,4609810,True,174.449,21.650,3.320,43,157562.000
2014b,4609810,True,152.036,15.281,2.648,31,95203.086
2014b,4609810,True,158.461,26.622,2.220,40,80555.836
2014b,4609810,True,167.059,17.044,1.984,33,70478.242
2014b,4609810,True,173.420,12.608,4.280,28,55404.082
2014b,4609810,True,166.099,21.916,3.569,51,179347.250
2014b,4609810,True,160.718,28.738,3.085,40,64790.664
2014b,4609810,True,140.190,31.210,2.315,59,211831.828
2014b,4609810,True,154.730,39.523,4.449,92,229828.750
2014b,4609810,True,132.216,13.397,7.136,40,149253.672
2014b,4609810,True,161.335,130.808,4.506,277,715684.500
2014b,4609810,True,151.932,29.474,5.287,84,246862.172
2014b,4609810,True,170.048,32.168,5.474,59,253420.359
2014b,4609810,True,159.479,18.527,1.786,26,114057.328
2014b,4609810,True,151.588,31.292,2.216,43,99511.758
2014b,4609810,True,13.219,11.641,2.011,20,30589.500
2014b,4609810,True,157.346,20.390,2.216,26,30193.668
2014b,4609810,True,148.254,16.054,2.582,20,25884.086
2014b,4609810,True,145.468,16.088,4.765,33,75588.078
2014b,4609810,True,153.489,29.987,2.418,40,84763.500
2014b,4609810,True,162.000,13.782,2.359,29,98553.828
2014b,4609810,True,80.082,20.205,1.939,54,582464.750
2014b,4609810,True,170.679,20.983,2.552,30,55538.004
2014b,4609810,True,143.226,16.931,1.752,31,136385.078
2014b,4609810,True,160.421,11.404,2.006,35,139244.844
2014b,4609810,True,174.568,18.875,5.008,24,44781.500
2014b,4609810,True,155.132,20.237,3.373,46,161322.156
2014b,4609810,True,157.013,122.103,3.746,352,2308757.500
2014b,4609810,True,168.721,21.978,2.704,33,71069.250
2014b,4609810,True,11.818,8.171,2.573,25,158138.078
2014b,4609810,True,147.834,10.953,1.779,29,171407.500
2014b,4609810,True,147.541,17.756,2.546,29,58418.168
2014b,4609810,True,171.096,15.377,5.675,27,74250.672
2014b,4609810,True,160.066,19.989,3.463,25,45952.750
2014b,4609810,True,142.182,18.001,4.010,31,28408.422
2014b,4609810,True,161.847,16.375,3.935,37,54919.586
2014b,4609810,True,155.655,15.543,3.850,29,63278.332
2014b,4609810,True,104.979,11.152,3.214,32,193110.000
2014b,4609810,True,49.078,14.317,7.478,47,99539.250
2014b,4609810,True,88.048,13.407,6.350,32,111782.508
2014b,4609810,True,173.144,14.198,2.236,22,42149.418
2014b,4609810,True,142.007,18.743,2.823,31,36827.250
2014b,4609810,True,140.623,25.758,1.181,36,81381.328
2014b,4609810,True,107.083,11.139,1.464,27,259419.328
2014b,4609810,True,3.360,14.077,1.480,19,33607.914
2014b,4609810,True,64.308,11.204,4.697,23,23019.750
2014b,4609810,True,161.419,17.079,2.480,35,78100.000
2014b,4609810,True,2.060,26.556,5.253,55,145219.672
2014b,4609810,True,2.375,25.311,9.659,78,230632.500
2014b,4609810,True,143.138,14.917,1.352,27,103768.578
2014b,4609810,True,171.141,19.638,5.050,37,110524.422
2014b,4609810,True,161.228,22.670,2.911,39,84287.328
2014b,4609810,True,151.283,16.132,4.203,30,58118.750
2014b,4609810,True,81.456,15.871,1.606,22,21878.418
2014b,4609813,True,146.724,23.451,3.858,46,118495.898
2014b,4609813,True,149.783,12.607,4.652,20,33225.500
2014b,4609813,True,174.463,29.993,2.516,49,125699.000
2014b,4609813,True,163.848,25.744,2.432,34,63177.922
2014b,4609813,True,154.062,12.300,2.306,38,204478.156
2014b,4609813,True,160.902,29.161,5.929,76,242622.812
2014b,4609813,True,143.252,19.074,3.279,34,58173.914
2014b,4609813,True,154.184,20.393,4.484,59,554974.625
2014b,4609813,True,161.766,22.189,2.078,43,88719.578
2014b,4609813,True,117.259,19.243,7.110,64,382870.344
2014b,4609813,True,164.467,14.988,7.960,42,157098.672
2014b,4609813,True,172.732,22.828,1.158,30,63138.500
2014b,4609813,True,164.642,25.192,2.400,32,171571.172
2014b,4609813,True,30.047,11.217,6.307,39,79685.500
2014b,4609813,True,151.671,24.707,3.056,52,118065.422
2014b,4609813,True,169.236,16.504,3.154,34,51515.336
2014b,4609813,True,149.901,16.590,4.343,36,38584.418
2014b,4609813,True,146.894,12.914,3.310,40,103094.742
2014b,4609813,True,156.001,18.595,1.583,22,49748.004
2014b,4609813,True,146.946,21.706,12.486,79,204260.406
2014b,4609813,True,85.864,12.760,3.092,27,39591.250
2014b,4609813,True,19.985,12.316,5.986,34,154868.922
2014b,4609813,True,149.175,16.975,3.709,44,121053.820
