name,width_depleted,orientation,critical_depth,width_max,offset,tilt,gain,critical_depth_min,critical_depth_max,width_max_min,width_max_max,width_depleted_preferred
2014-08-23-471,0.75,1,0.450,3.00,0.000,-0.0300,33.096,0.450,0.450,3.00,3.00,0.75
2014-08-23-472,0.75,1,0.550,4.00,0.200,0.0300,24.881,0.050,0.850,1.00,4.50,2.00
2014-08-23-473,0.75,1,0.550,6.50,0.000,-0.0150,73.519,0.550,0.550,6.00,6.50,1.75
2014-08-23-474,0.75,1,0.700,3.50,0.050,0.0150,36.055,0.500,0.700,3.50,4.50,0.75
2014-08-23-475,0.75,1,0.450,5.50,-0.050,-0.0300,40.119,0.450,0.450,5.50,6.50,0.25
2014-08-23-476,0.75,1,0.850,0.00,0.150,-0.0300,3.261,0.200,0.900,0.00,1.50,1.50
2014-08-23-477,0.75,-1,0.400,8.50,-0.250,0.0000,15.478,0.400,0.750,6.00,8.50,0.00
2014-08-23-478,0.75,-1,0.450,4.00,-0.200,-0.0300,1.086,0.450,0.450,3.50,4.00,0.25
2014-08-23-479,0.75,-1,0.350,2.00,-0.400,-0.0300,23.337,0.350,0.400,2.00,6.50,2.00
2014-08-23-480,0.75,1,0.400,5.00,0.000,0.0000,51.223,0.400,0.400,5.00,5.00,0.75
2014-08-23-481,0.75,-1,0.500,3.00,-0.250,-0.0300,11.229,0.500,1.000,2.50,3.00,2.50
2014-08-23-482,0.75,-1,0.600,4.50,0.200,-0.0150,90.503,0.500,0.600,4.50,5.00,1.00
2014-08-23-483,0.75,1,0.600,6.50,0.050,-0.0300,41.387,0.600,0.600,6.50,6.50,1.75
2014-08-23-484,0.75,1,0.500,6.50,0.150,-0.0150,72.128,0.500,0.500,6.50,6.50,0.50
2014-08-23-485,0.75,1,0.450,4.50,-0.050,0.0000,50.115,0.350,0.450,4.50,5.00,0.25
2014-08-23-486,0.75,1,0.350,4.50,0.050,0.0300,28.229,0.350,0.350,4.50,4.50,0.00
2014-08-23-487,0.75,1,0.450,5.00,0.050,0.0000,55.121,0.450,0.450,5.00,5.00,2.00
2014-08-23-488,0.75,1,0.150,2.50,0.250,0.0300,3.510,0.150,0.150,2.50,2.50,0.25
2014-08-23-489,0.75,1,0.250,2.00,-0.500,-0.0300,11.299,0.150,0.250,2.00,2.50,0.75
2014-08-23-490,0.75,-1,0.350,9.00,-0.100,0.0000,38.113,0.350,0.350,9.00,9.50,0.50
2014-08-23-491,0.75,-1,0.250,5.50,0.000,-0.0300,35.028,0.200,0.250,4.00,6.50,0.00
2014-08-23-492,0.75,-1,0.400,6.50,0.100,-0.0300,47.478,0.400,0.400,6.50,6.50,0.00
2014-08-23-493,0.75,-1,0.100,7.00,-0.200,0.0300,0.813,0.100,0.100,6.50,7.50,0.25
2014-08-23-494,0.75,1,0.700,4.50,0.050,0.0150,61.149,0.700,0.700,4.50,4.50,1.25
2014-08-23-495,0.75,-1,0.650,5.00,-0.050,0.0300,47.792,0.650,0.850,2.00,5.00,1.50
2014-08-23-496,0.75,1,0.300,5.00,-0.050,0.0300,28.266,0.300,0.350,4.50,5.00,0.00
2014-08-23-497,0.75,-1,0.450,6.00,-0.300,-0.0300,15.432,0.450,0.550,4.50,6.00,0.00
2014-08-23-498,0.75,-1,0.600,1.50,0.250,0.0300,5.206,0.150,1.000,0.50,2.00,1.00
2014-08-23-499,0.75,1,0.150,8.50,-0.100,-0.0300,8.360,0.150,0.150,8.00,10.00,0.00
2014-08-23-500,0.75,1,0.400,0.50,0.350,-0.0300,6.303,0.050,0.650,0.00,10.00,0.00
2014-08-23-501,0.75,-1,0.400,6.50,-0.050,0.0000,19.530,0.400,0.500,5.50,6.50,0.25
