dataset,fsn,time,image,saa,xcen,ycen,roll,exptime
2018may,39498504,2018-05-04T10:18:40.34Z,FUV,1,964.6,-0.2,-90,15.0
sji,39498499,2018-05-04T10:18:23.80Z,SJI_2796,1,967.4,88.7,-90,15.0
